Region,Site code,Map location number,USGS station number,State code,USGS site name,Latitude (decimal degrees),Longitude (decimal degrees),Method1,Sampling agency,Associated historical data
Great South Bay,GSB01,152,404357072573701,NY,"Greast South Bay near Howells Creek, NY",40.732,-72.9598,"A,B,C,D,E,F,G,H,I",USGS,None. Added to inform regional impact
Great South Bay,GSB02,153,404139073004901,NY,"Great South Bay north of Davis Park, NY",40.6933,-73.0074,"A,B,C,D,E,F,G,H,I",USGS,2EPA NCCA 2010
Great South Bay,GSB03,154,404322073073301,NY,"Great South Bay near Connetquot River, NY",40.7227,-73.126,"A,B,C,D,E,F,G,H,I",USGS,None. Added to inform regional impact
Great South Bay,GSB04,155,403908073092401,NY,"Great South Bay at Ocean Beach, NY",40.654,-73.1571,"B,C,D,E,F,G,H,I",USGS,None. Added to inform regional impact
Great South Bay,GSB05,156,404052073141601,NY,"Great South Bay east of Robert Moses Causeway, NY",40.6808,-73.2377,"A,B,C,D,E,F,G,H,I",USGS,2EPA NCCA 2010
Great South Bay,GSB06,157,404031073192901,NY,"Great South Bay south of Carlls River, NY",40.6781,-73.3261,"A,B,C,D,E,F,G,H,I",USGS,None. Added to inform regional impact
Great South Bay,GSB07,158,403715073245701,NY,"Great South Bay near West Gilgo Beach, NY",40.622,-73.415,"A,B,C,D,E,F,G,H,I",USGS,None. Added to inform regional impact
Great South Bay,MB01,159,402710072494601,NY,"Moriches Bay south of Mastic Beach, NY",40.753,-72.8303,"A,B,C,D,E,F,G,H,I",USGS,None. Added to inform regional impact
Great South Bay,MB02,160,404637072462301,NY,"Moriches Bay south of Terrell River, NY",40.7785,-72.7734,"A,B,C,D,E,F,G,H,I",USGS,"3NOAA, Mussel Watch"
Great South Bay,NOAA7,161,403851073100101,NY,"Great South Bay near Ocean Beach, NY",40.6474,-73.1669,"A,B,C,E,F,G,H,I",USGS,"3NOAA, Mussel Watch"
Great South Bay,NOAA8,162,403841073150401,NY,"Great South Bay near Captree Marina, NY",40.6448,-73.251,"A,B,C,E,F,G,H,I",USGS,"3NOAA, Mussel Watch"
Great South Bay,SOB01,163,403860073282401,NY,"South Oyster Bay near Massapequa Creek, NY",40.6478,-73.4754,"A,B,C,D,E,F,G,H,I",USGS,None. Added to inform regional impact
Peconic Bay,FB01,164,405022072351401,NY,"Flanders Bay near Goose Creek Point, NY",40.9231,-72.5878,"A,B,C,D,E,F,G,H,I",USGS,None. Added to inform regional impact
Peconic Bay,FB02,165,405448072343101,NY,"Flanders Bay near Red Cedar Point, NY",40.9134,-72.5752,"A,B,C,D,E,F,G,H,I",USGS,None. Added to inform regional impact
Peconic Bay,FB03,166,405531072360701,NY,"Flanders Bay southeast of Reeves Creek, NY",40.9254,-72.6021,"A,B,C,D,E,F,G,H,I",USGS,None. Added to inform regional impact
Peconic Bay,PB01,167,405822072270001,NY,"Peconic Bay east of Robins Island, NY",40.9728,-72.4501,"A,B,C,D,E,F,G,H,I",USGS,2EPA NCCA 2010
